dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,auc_value,auc_std,noise_std,noise_drop,elapsed,seed
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.5638,3.0658,3.1152,Hits@100,0.2293,0.0055,0.9029,0.0012,0.1,0.05,534.2,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.5652,3.0785,3.1134,Hits@100,0.223,0.0107,0.9032,0.0016,0.15,0.05,427.2,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.5654,3.0725,3.1189,Hits@100,0.2272,0.0218,0.903,0.0019,0.2,0.05,535.4,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.368,1.7956,1.9719,Hits@100,0.1406,0.0207,0.9452,0.001,0,0,168.6,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.3674,2.1087,2.1292,Hits@100,0.1404,0.0231,0.9596,0.0009,0.05,0.05,175.6,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.3649,2.0904,2.1379,Hits@100,0.1484,0.042,0.9602,0.0004,0.1,0.05,146.8,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.3603,2.0769,2.1379,Hits@100,0.1669,0.0298,0.9607,0.0007,0.15,0.05,170.2,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.3592,2.0778,2.1354,Hits@100,0.1594,0.0386,0.9606,0.0006,0.2,0.05,144.2,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.183,6.932,8.2809,Hits@100,0.9857,0.0134,0.8949,0.023,0,0,46.8,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.2422,7.5101,8.1126,Hits@100,0.9821,0.008,0.8702,0.0191,0.05,0.05,47,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.2327,7.4342,8.2023,Hits@100,0.9857,0.0091,0.8621,0.0259,0.1,0.05,46.8,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.2176,7.6332,8.2486,Hits@100,0.9732,0.0126,0.8736,0.0211,0.15,0.05,47.4,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.1958,7.357,8.405,Hits@100,0.9821,0.0056,0.8766,0.0162,0.2,0.05,47,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.289,6.9253,7.7998,Hits@100,0.9478,0.0147,0.9111,0.01,0,0,48.8,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.3844,6.6828,7.6606,Hits@100,0.9456,0.017,0.9056,0.0065,0.05,0.05,46,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.3579,5.737,7.5246,Hits@100,0.9578,0.0156,0.9054,0.0107,0.1,0.05,46,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.3347,6.4013,7.6615,Hits@100,0.9644,0.0295,0.9212,0.0191,0.15,0.05,47.2,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.3084,6.6196,7.7039,Hits@100,0.9656,0.0042,0.9251,0.0102,0.2,0.05,46.6,13
